No.,Visible,Ref. Code,Compound Name,Chemical Formula,Score,SemiQuant [%],Cell,Display Color,Database ID,Subfiles
66,FALSE,00-001-1037,Ammonium Chloride,N H4 Cl,-,-,a 3.86600 - b 3.86600 - c 3.86600,Lime,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Inorganic, Mineral, Pharmaceutical"
67,FALSE,00-001-1041,Silver Oxide,Ag2 O,-,-,a 4.72000 - b 4.72000 - c 4.72000,Gray,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Alloy, metal or intermetalic, Inorganic"
68,FALSE,00-001-1043,Ammonium Chloride,N H4 Cl,-,-,a 3.86600 - b 3.86600 - c 3.86600,Maroon,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Inorganic, Mineral, Pharmaceutical"
69,FALSE,00-001-1044,Ammonium Chloride,N H4 Cl,-,-,a 3.86000 - b 3.86000 - c 3.86000,Aqua,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Inorganic, Mineral, Pharmaceutical"
70,FALSE,00-001-1046,Thallium Chloride,Tl Cl,-,-,a 3.84000 - b 3.84000 - c 3.84000,Fuchsia,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
71,FALSE,00-001-1049,Cadmium Oxide,Cd O,-,-,a 4.68900 - b 4.68900 - c 4.68900,Yellow,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Alloy, metal or intermetalic, Inorganic"
72,FALSE,00-001-1050,Zirconium Carbide,Zr C,-,-,a 4.69600 - b 4.69600 - c 4.69600,Red,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
73,FALSE,00-001-1056,Potassium Fluoride,K F,-,-,a 2.66400 - b 2.66400 - c 2.66400,Blue,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
74,FALSE,00-001-1069,Potassium Fluoride,K F,-,-,a 5.33000 - b 5.33000 - c 5.33000,Lime,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
75,FALSE,00-001-1089,Manganese Sulfide,Mn +2 S,-,-,a 5.21400 - b 5.21400 - c 5.21400,Gray,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Inorganic, Mineral"
76,FALSE,00-001-1096,Magnesium Sulfide,Mg S,-,-,a 5.19000 - b 5.19000 - c 5.19000,Maroon,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
77,FALSE,00-001-1119,Silicon Carbide,Si C,-,-,a 4.35800 - b 4.35800 - c 4.35800,Aqua,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Alloy, metal or intermetalic, Inorganic, Mineral"
78,FALSE,00-001-1131,Lithium,Li,-,-,a 3.50000 - b 3.50000 - c 3.50000,Fuchsia,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
79,FALSE,00-001-1142,Copper Oxide,Cu2 +1 O,-,-,a 4.25200 - b 4.25200 - c 4.25200,Yellow,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Alloy, metal or intermetalic, Inorganic, Mineral"
80,FALSE,00-001-1151,Silver Sulfide,Ag2 S,-,-,a 4.88000 - b 4.88000 - c 4.88000,Red,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Inorganic, Mineral"
81,FALSE,00-001-1159,Vanadium Carbide,V4 C3,-,-,a 4.16000 - b 4.16000 - c 4.16000,Blue,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Alloy, metal or intermetalic, Common Phase, Forensic, Inorganic"
82,FALSE,00-001-1160,Calcium Oxide,Ca O,-,-,a 4.79700 - b 4.79700 - c 4.79700,Lime,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Alloy, metal or intermetalic, Inorganic, Pharmaceutical"
83,FALSE,00-001-1164,Silver,Ag,-,-,a 4.07900 - b 4.07900 - c 4.07900,Gray,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
84,FALSE,00-001-1167,Silver,Ag,-,-,a 4.08000 - b 4.08000 - c 4.08000,Maroon,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
85,FALSE,00-001-1172,Gold,Au,-,-,a 4.06990 - b 4.06990 - c 4.06990,Aqua,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
86,FALSE,00-001-1174,Gold,Au,-,-,a 4.06400 - b 4.06400 - c 4.06400,Fuchsia,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
87,FALSE,00-001-1176,Aluminum,Al,-,-,a 4.04060 - b 4.04060 - c 4.04060,Yellow,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
88,FALSE,00-001-1179,Aluminum,Al,-,-,a 4.05000 - b 4.05000 - c 4.05000,Red,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
89,FALSE,00-001-1180,Aluminum,Al,-,-,a 4.04060 - b 4.04060 - c 4.04060,Blue,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
90,FALSE,00-001-1181,Sodium Fluoride,Na F,-,-,a 2.31000 - b 2.31000 - c 2.31000,Lime,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,"Inorganic, Mineral, Pharmaceutical"
91,FALSE,00-001-1182,Tantalum,Ta,-,-,a 3.29600 - b 3.29600 - c 3.29600,Gray,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
92,FALSE,00-001-1183,Niobium,Nb,-,-,a 3.30100 - b 3.30100 - c 3.30100,Maroon,C:\Users\1\Documents\PANalytical\X'Pert HighScore Plus\PDF2-2004\,Inorganic
